#Powered_by_ParaTranz
EVTNAME5002;Stanley Cup
tanzimat_reforms_title;Tanzimat Reforms
tanzimat_reforms_desc;"Tanzimat" (reorganization) in Turkish, refers to a series of reform measures enacted by the Ottoman government in the second half of the 19th century to counter the rising nationalist tide among the empire's vast and diverse minorities. The reformists aimed to integrate diverse populations under the common banner of "Ottomanism," reforming the Ottoman government as an alternative for the many radical minorities in the nation seeking to establish nation-states based on a single ethnicity, and allowing increased minority representation and autonomy in government. The Tanzimat reforms ultimately failed to prevent the decline of the Ottoman government, though it can be said they at least delayed the decline.
establish_la_guardia_civil_title;Civil Guard
establish_la_guardia_civil_desc;The Civil Guard (Spanish: La Guardia Civil) is Spain's gendarmerie, founded during the reign of Queen Isabella II, after the liberal victory in the Carlist Wars, to suppress Carlist nostalgia lingering in the countryside. The Civil Guard is a mixture of police and military force, operating at the national level, and has survived to the present day.
la_guardia_civil;Civil Guard
la_guardia_civil_desc;This gendarmerie is the pride of the nation.
support_french_foreign_legion_title;Foreign Legion
support_french_foreign_legion_desc;The Foreign Legion (French: Légion étrangère) is a military unit of the French army, unique in that it recruits new soldiers regardless of nationality and personal background. Founded in the early 1830s, the regiment did not yet have the long tradition it enjoys today until it served alongside other forces in the Spanish Carlist Wars, French intervention in Mexico, Cameroonian campaigns, the Franco-Prussian War, and in fact, in almost every conflict involving France up to modern times. Young people fleeing personal tragedy, oppression, debt, or past crimes might join the French Foreign Legion, embarking on a journey of redemption in the deserts of French Algeria — a scene that has since become one of the most iconic and enduring images of the 19th century. Promote the legion, let new recruits rally to our banner.
the_french_foreign_legion;Foreign Legion
the_french_foreign_legion_desc;Our army is world-famous, and the Foreign Legion's long tradition deserves much of the credit.
establish_the_dar_al_funun_title;Establish the Dar al-Funun
establish_the_dar_al_funun_desc;The Dar al-Funun was the first modern university-style institution established in Persia, founded in 1861 by Amir Kabir, who later became the Grand Vizier of Nasir al-Din Shah of the Qajar dynasty. It was a modern polytechnic institute dedicated to teaching medical skills, natural sciences, and military technology to children of the Persian upper class. By establishing such a fine institution, let's give our young people a taste of the modern world!
fatherland_volunteers_title;Fatherland Volunteers
fatherland_volunteers_desc;During the War of the Triple Alliance, when Paraguayan forces invaded Brazil's Mato Grosso province, Emperor Pedro II of Brazil, exasperated by the incompetence of the Brazilian army, asked to be allowed to go to the front alone. When both the cabinet and the national congress rejected his wish, Pedro threatened to abdicate and join as a volunteer, reportedly saying "If they can stop me from going as emperor, then they cannot stop me from abdicating and going as a fatherland volunteer." Of course, the cabinet had no choice. Later, Brazilians who volunteered during the war were called "fatherland volunteers" in memory of Pedro's words. Like Pedro, this nation will follow your leadership forward.
ATWAR;At War
law_1420_of_general_common_education_title;Law No. 1420
law_1420_of_general_common_education_desc;Law No. 1420 on Elementary Education was passed in 1884 during the presidency of Julio Argentino Roca of Argentina. The law established the nation's first free, compulsory, national, and secular education system. Despite the law's secular tendencies causing conflict between the Catholic Church and the Argentine government, it can be considered a milestone in Argentine education.
danmarks_riges_grundlov_title;Constitution of Denmark
danmarks_riges_grundlov_desc;Denmark had been an absolute monarchy since 1660. On June 5, 1849, King Frederick VII signed a document called the "Constitution of Denmark," establishing Denmark's constitution. The signing of this constitution, which limited the monarch's power, was a new thing that Frederick's predecessors had tried hard to avoid, initiated during the unification of Denmark, following the First Schleswig War. The constitution marked Denmark's transition from absolutism to constitutional monarchy. Give our people a constitution!
ADD_WARGOAL_DESC;Requires $COST$ war score to demand
ADD_WARGOAL_PEACE_COST;Requires $COST$ war score
ADD_WARGOAL_INFAMY;If we add this war goal to the war, we will gain $COST$ ?Y infamy?W
ADD_WARGOAL_PRESTIGE;If we achieve this war goal, we will gain $COST$ ?Y prestige?W
ADD_WARGOAL_MILITANCY;If we fail to achieve this war goal, all our people will gain $MILITANCY$ ?Y militancy?W
ADD_WARGOAL_WARGOAL;War Goal: ?Y$GOAL$?W
adopt_die_stem_title;Adopt "Die Stem"
adopt_die_stem_desc;"Ring out, ring out across the mountains,\nRing through the valleys and the plains,\nLet our voices echo from the ocean shore,\nTo the hills where our fathers' bones still lie."\n\n"Die Stem van Suid-Afrika" (The Voice of South Africa) did not officially become South Africa's national anthem until 1957, but it had been the unofficial anthem for a long time before. The lyrics were originally written by C.J. Langenhoven in 1918 as a hymn, and set to music by Marthinus Lourens de Villiers in 1921. "Die Stem" was frequently broadcast on the South African Broadcasting Corporation, and aired together with "God Save the King" at the end of each broadcasting day. With "Die Stem," give our young nation a fitting anthem!
found_the_bbc_title;Found the BBC
found_the_bbc_desc;The British Broadcasting Corporation, Britain's public service broadcasting network and later television network, was founded on October 18, 1922, as the "British Broadcasting Company." The company was initially formed by a consortium of six telecommunications companies, and sent its first broadcast from London's 2LO station on November 14, 1922. From the BBC, let "nations live side by side in peace."
establish_the_sovnarkom_title;Establish the "Council of People's Commissars"
establish_the_sovnarkom_desc;"Soviet Narodnykh Kommissarov," Russian for "Council of People's Commissars," was the highest government authority in Soviet Russia, functioning according to custom from the 1918 Russian Socialist Federative Soviet Republic Constituent Assembly. The Council of People's Commissars (officially) was responsible to the Soviet Assembly, and during its recess, had the power to issue laws and decrees.
EVTNAME2000;Ethnic Enclaves
EVTDESC2000;Foreign immigrants arriving in a new nation often settle in quite compact areas, living closely together and supporting each other among fellow nationals, so they often form small "ethnic enclaves," such as "Little Italy" in New York. $PROVINCENAME$ is no exception; immigrant communities there have formed exactly such a thing, complete with all the cultural, linguistic, and culinary flavors of their home countries.
EVTOPTA2000;A victory for our tolerant society!
EVTOPTB2000;An excellent opportunity to promote local harmony!
EVTNAME2020;Intermarriage
EVTDESC2020;A romance is circulating in $PROVINCENAME$, where friends and relatives are celebrating the marriage of an immigrant boy and a local girl from the province. Some publicly oppose this development, calling it the end of $COUNTRY_ADJ$ civilization, but the young couple certainly looks happy. Immigrants are changing the customs of $PROVINCENAME$, big and small.
EVTOPTA2020;Wish them eternal love
EVTOPTB2020;This is a clear sign that immigration must be restricted
EVTNAME2050;Suffrage Parade
EVTDESC2050;Immigrants in $PROVINCENAME$ held a demonstration to protest their lack of equal citizenship rights and demand equal legal recognition applicable to all citizens of $COUNTRY_ADJ$.
EVTOPTA2050;Interesting, let's listen to them...
EVTOPTB2050;This is absurd!
EVTNAME2060;Immigrant Riot
EVTDESC2060;Riots have broken out in the immigrant community of $PROVINCENAME$. Many immigrants feel the government has not given them the legitimate recognition of "formal nationals," and they cannot obtain the same opportunities as formal nationals.
EVTOPTA2060;One of the worst public order incidents
EVTOPTB2060;Let's hear their grievances
EVTNAME2070;I Pledge Allegiance
EVTDESC2070;"I pledge allegiance to the flag of $COUNTRY$ and the government it represents."\n\nToday, observers in $PROVINCENAME$ are shedding tears, because today some of our immigrants have taken the oath of allegiance and proven their loyalty to $COUNTRY_ADJ$.
EVTOPTA2070;Welcome home, fellow countrymen.
EVTNAME2080;Slums
EVTDESC2080;Immigrants coming to $COUNTRY$ often lack both financial means and opportunities. Many immigrants become poor residents of $PROVINCENAME$, and those impoverished areas increasingly take on the character of slums. It would be a good idea to do something about these filthy living conditions before they get worse.
EVTOPTA2080;I'm sure we won't be troubled by it
EVTOPTB2080;We should certainly investigate these places
sign_treaty_of_london_title;Treaty of London
sign_treaty_of_london_desc;When Belgium gained de facto independence from the Netherlands by force during the 1831 Belgian Revolution, it was not legally recognized by the Netherlands until the signing of the Treaty of London. In 1839, the Netherlands and all European powers signed this agreement, which formally established Belgium's independence and neutral status. By signing this treaty, we will lose our sovereignty claim over Belgium, but our standing in the eyes of the world will improve.
EVTNAME2090;Racial Segregation
EVTDESC2090;New immigrants in $PROVINCENAME$ find it difficult to integrate into the broader $COUNTRY_ADJ$ populace, and many local residents regard them as foreigners. Immigrants live in separate areas of the city, attend separate schools and shops, and gradually have little contact with the larger community.
EVTOPTA2090;They must integrate, by force if necessary
EVTOPTB2090;It seems the locals were right!
EVTNAME2100;Anti-Immigrant Riot
EVTDESC2100;Following a prolonged period of internal turmoil in $PROVINCENAME$, local anti-immigrant sentiment erupted into a large-scale riot. Shop windows were smashed, and several new immigrants were killed, as all social ills were blamed on immigrants, whether real or imagined.
EVTOPTA2100;Tragic news!
EVTNAME2110;Cultural Enrichment
EVTDESC2110;New immigrants in $PROVINCENAME$ bring with them the accumulated experiences of their home countries. Their songs are now mixed into ours, becoming part of this ever-changing symphony called $COUNTRY$. Their customs enrich our customs, creating new mixed styles of cultural expression in art, science, and architecture.
EVTOPTA2110;Bragging rights +1!
EVTOPTB2110;...Why do people tell me these things?!
EVTNAME2120;Immigrant Deported
EVTDESC2120;A new immigrant in $PROVINCENAME$ was caught by local police stealing from a local vendor and was put back on the ship home. This incident caused great alarm in the local immigrant community; many immigrants are unfamiliar with our judicial system and now fear more deportations will follow.
EVTOPTA2120;Do our best to reassure them everything is fine
EVTOPTB2120;This is exactly what will happen!
EVTNAME2130;Exotic Cuisine
EVTDESC2130;Immigrants in $PROVINCENAME$ have opened several new shops where specialty products from their home countries can be purchased and tasted, meaning locals can now taste flavors from places in the world they had never known before. Just a few years ago, people ate the food their ancestors had eaten for centuries; now they can feast their eyes and taste buds on delicacies from around the world.
EVTOPTA2130;Pasta!
EVTOPTB2130;Pizza!
form_north_german_confederation_title;North German Confederation
form_north_german_confederation_desc;Germany was not unified until the German Empire was proclaimed after the Franco-Prussian War. The rise of nationalism in the 19th century meant unification had been inevitable long before, and the 1848 Frankfurt Assembly was an important precursor. By gaining dominance over the North German states, we can form the "North German Confederation."
form_south_german_confederation_title;South German Confederation
form_south_german_confederation_desc;Germany was not unified until the German Empire was proclaimed after the Franco-Prussian War. The rise of nationalism in the 19th century meant unification had been inevitable long before, and the 1848 Frankfurt Assembly was an important precursor. By gaining dominance over the South German states, we can form the "South German Confederation."
REMOVE_NO_DEMOTION;There are no demotions today.
PROVINCEVIEW_FROM_LOCAL_TAX;From local administrative efficiency: ?Y+
INCREASERELATIONTITLE;Improve Relations
POLITICS_PEOPLE_IDEOLOGIES;People's Ideologies
POLITICS_VOTERS_IDEOLOGIES;Voter Ideologies
COLONIZE_NOT_GP_OR_SECONDARY;Only ?Y Great Powers?W or ?Y Secondary Powers?W can colonize
THIS_IS_SPARTA;This province is an inalienable part of our nation's territory
DIPLO_WE_DOMINION;Our nation is their dominion
DIPLO_WE_SATELLITE;Our nation is their satellite
DIPLO_THEY_DOMINION;They are our dominion
DIPLO_THEY_SATELLITE;They are our satellite
BUY_FROM_STOCKPILE_DESC;Allow the people and factories to purchase goods from the national stockpile
EVTNAME16250;Separatist Sentiment!
EVTDESC16250;Talk of secession can be heard in the streets and lanes of $PROVINCENAME$. In fact, the entire $STATENAME$ is discussing secession, and fewer and fewer people feel that a meaningful compromise — preserving the South's "peculiar institution," namely slavery — can be reached in the atmosphere of growing political reform tendencies in Congress.
EVTOPTA16250;Rebellious scum!
EVTNAME16001;Slavery Debate
EVTDESC16001;One of the issues our great nation's founding fathers never convincingly answered was the question of the status of slaves within the federation. This fiery debate had only gained appeal during the revolutionary era, but now it is an extraordinarily important topic on our nation's political agenda. Some radical Southerners feel there is no viable compromise on this issue, and secession is the only choice other than liberating the slaves from the central authority in Washington. If our Senate takes a stance to force political reform in the South — with 40% of the upper house leaning liberal — we can be certain there will be no choice but confrontation.
EVTOPTA16001;We hope this issue will persist for a while
the_slavery_debate;Slavery Debate
desc_the_slavery_debate;In America, the debate over slavery is very active, and this issue fuels the awakening of the people every day. If liberal support in Congress exceeds thirty percent, Southern forces will decide to secede from the Union.
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_HEADER;Foreign Minister's Report
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_1;?Y$ACTOR$?W
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_2;$MONARCHTITLE$, we are tired of
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_3;?Y$RECIPIENT$?W
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_4;filthy troops treading on our territory, so we have canceled the military access we generously granted them
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_5;*
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_6;The people of ?Y$ACTOR$?W support this.
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_BTN1;Good
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_BTN2;Good
CANCELGIVEMILITARYACCESS_THEY_ACCEPT_BTN3;View
CANCELGIVEMILITARYACCESS_WE_ACCEPT_HEADER;Foreign Minister's Report
CANCELGIVEMILITARYACCESS_WE_ACCEPT_1;?Y$ACTOR$?W
CANCELGIVEMILITARYACCESS_WE_ACCEPT_2;$MONARCHTITLE$, we learned with anger that
CANCELGIVEMILITARYACCESS_WE_ACCEPT_3;?Y$ACTOR$?W
CANCELGIVEMILITARYACCESS_WE_ACCEPT_4;has canceled the military access granted to our nation.
CANCELGIVEMILITARYACCESS_WE_ACCEPT_5;*
CANCELGIVEMILITARYACCESS_WE_ACCEPT_6;We must teach them a lesson for this shortsighted act.
CANCELGIVEMILITARYACCESS_WE_ACCEPT_BTN1;Good
CANCELGIVEMILITARYACCESS_WE_ACCEPT_BTN2;Good
CANCELGIVEMILITARYACCESS_WE_ACCEPT_BTN3;View
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_HEADER;Foreign Minister's Report
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_1;?Y$ACTOR$?W
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_2;$MONARCHTITLE$
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_3;?Y$ACTOR$?W
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_4;has abandoned
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_5;?Y$RECIPIENT$?W
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_6;the military access granted to them. Perhaps we can benefit from this.
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_BTN1;Good
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_BTN2;Good
CANCELGIVEMILITARYACCESS_OTHER_ACCEPT_BTN3;View
DECREASERELATIONTITLE;Damage Relations
WARGOALTITLE;Add War Goal
WARSUBSIDIESTITLE;Provide War Subsidies
CANCEL_WARSUBSIDIESTITLE;Cancel War Subsidies
ASKMILITARYACCESSTITLE;Request Military Access
CANCELASKMILITARYACCESSTITLE;Cancel Military Access
GIVEMILITARYACCESSTITLE;Provide Military Access
CANCELGIVEMILITARYACCESSTITLE;Withdraw Military Access
CANCELALLIANCETITLE;Break Alliance
CALLALLYTITLE;Summon Ally to War
DISCREDITTITLE;Discredit Great Power
EXPELADVISORSTITLE;Expel Great Power's Advisors
BANEMBASSYTITLE;Expel Great Power's Ambassador
INCREASEOPINIONTITLE;Improve Attitude Toward Our Nation
DECREASEOPINIONTITLE;Lower Attitude Toward Great Power
ADDTOSPHERETITLE;Incorporate into Sphere of Influence
REMOVEFROMSPHERETITLE;Remove from Sphere of Influence
INCREASERELATION_BUTTON;Improve Relations
DECREASERELATION_BUTTON;Lower Relations
CALLALLY_OFFER;$ACTOR$, they ask us to help them and join $LIST$.
CALLALLY_THEY_ACCEPT_HEADER;Foreign Minister's Report
CALLALLY_THEY_ACCEPT_1;?Y$RECIPIENT$?W
CALLALLY_THEY_ACCEPT_2;$MONARCHTITLE$, we learned without surprise that
CALLALLY_THEY_ACCEPT_3;?Y$RECIPIENT$?W
CALLALLY_THEY_ACCEPT_4;has fulfilled our military alliance and joined our invincible army against
CALLALLY_THEY_ACCEPT_5;$VERSUS$
CALLALLY_THEY_ACCEPT_6;*
CALLALLY_THEY_ACCEPT_BTN1;Excellent!
CALLALLY_THEY_ACCEPT_BTN2;Excellent!
CALLALLY_THEY_ACCEPT_BTN3;View
CALLALLY_WE_ACCEPT_HEADER;Foreign Minister's Report
CALLALLY_WE_ACCEPT_1;Fulfill Alliance
CALLALLY_WE_ACCEPT_2;$MONARCHTITLE$, we believe
CALLALLY_WE_ACCEPT_3;?Y$ACTOR$?W
CALLALLY_WE_ACCEPT_4;deserves our help against
CALLALLY_WE_ACCEPT_5;$VERSUS$
CALLALLY_WE_ACCEPT_6;*
CALLALLY_WE_ACCEPT_BTN1;Good
CALLALLY_WE_ACCEPT_BTN2;Good
CALLALLY_WE_ACCEPT_BTN3;View
CALLALLY_OTHER_ACCEPT_HEADER;Foreign Minister's Report
CALLALLY_OTHER_ACCEPT_1;?Y$RECIPIENT$?W
CALLALLY_OTHER_ACCEPT_2;$MONARCHTITLE$, ?Y$RECIPIENT$?W has fulfilled
CALLALLY_OTHER_ACCEPT_3;their alliance with
CALLALLY_OTHER_ACCEPT_4;?Y$ACTOR$?W
CALLALLY_OTHER_ACCEPT_5;against
CALLALLY_OTHER_ACCEPT_6;$VERSUS$
CALLALLY_OTHER_ACCEPT_BTN1;Good
CALLALLY_OTHER_ACCEPT_BTN2;Good
CALLALLY_OTHER_ACCEPT_BTN3;View
BUILD_CIVILIZED;Civilized
DIPLOMACY_CANNOT_JOIN_WAR_INVALID_ALLY;We cannot join their side while already at war with ?Y$COUNTRY$?W.
DIPLOMACY_CANNOT_JOIN_WAR_INVALID_ENEMY;We cannot fight another war with ?Y$COUNTRY$?W while already at war with them.
DIPLOMACY_CANNOT_JOIN_WAR_ALLIED_ENEMY;We are allies with ?Y$COUNTRY$?W in this war; we cannot fight them in another war.
DIPLOMACY_ALREADY_IN_WAR;Already joined this war.
CALLALLY_DESC;Summon our ally to support our fight.\n$VERSUS$
DECISIONOTHER_1;$ACTOR$
EVTNAME11101;Glory of $FROMCOUNTRY_ADJ$
EVTDESC11101;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has brought us news from the $UNION_ADJ$ Congress. $FROMCOUNTRY$ has acquired the $UNION_ADJ$ crown and declared themselves the only $UNION_ADJ$ nation in the world. This trend will be difficult to reverse.
EVTOPTA11101;Long live the $CULTURE_GROUP_UNION$ people!
EVTOPTB11101;Our ancient rights shall never be violated!
die_wacht_am_rhein_title;Watch on the Rhine
french_military_mission_to_japan_title;Canron Mission
french_military_mission_to_japan_desc;In 1867, at the request of the Japanese Tokugawa Shogunate, France dispatched a military mission to teach the Shogunate army Western tactics. The mission was led by General Charles Canron, who later became Minister of War in the Brizon government in 1898. We will dispatch a military mission to Japan, which will definitely strengthen relations between the two nations.
schwabing_circles_title;Schwabing Cultural Circle
schwabing_circles_desc;During the reign of Prince Regent Luitpold, due to the presence of the university and students, Schwabing began to be known as a center of intellectual exchange, which brought many modernist painters and writers — from the Mann brothers to Henrik Ibsen to Wassily Kandinsky. Support Schwabing and let it bring us glory.
the_grunderzeit_title;Founding Era
the_grunderzeit_desc;"Grunderzeit" refers to the period between the 1840s and the mid-1870s, when Germany and Eastern Europe, particularly Vienna, experienced rapid economic modernization and industrialization. This period is famous for its architectural style, inspired by neo-Gothic architecture and new architectural styles brought by the Industrial Revolution, along with the accompanying political trend of liberalism. Vienna will support these trends during this period and watch itself prosper.
die_wacht_am_rhein_desc;In 1840, French Prime Minister Adolphe Thiers declared the Rhine as France's eastern border, which Germans considered an aggression against Prussia's territories on the west bank of the Rhine, igniting the Rhine Crisis. In response, the patriotic poet and merchant Max Schneckenburger created a patriotic poem entitled "The Fatherland's Watchful Care," in which the line "watchfully guarding the Rhine" implied that Germany would defend the Rhine against any (French) invader. The poem was set to music in 1854 and became widely popular during the Franco-Prussian War of 1870–1871.
DIPLOMACY_AGAINST;Confrontation
FOCUS_OWNED_BY;You cannot establish a national focus on another nation's territory
NO_CB_EFFECT;?RIf we don't have a valid casus belli, this will bring infamy penalties?W
M_GOTO_BUTTON;Search for nation or province
INFLUENCE_CHANGE;Influence of ?Y$ACTIVE$?W on ?Y$PASSIVE$?W changed by $MUCH$\n
INFLUENCE_CHANGE_SHORT;Influence on ?Y$PASSIVE$?W changed by $MUCH$\n
HAVE_DIPLOMATIC_INFLUENCE;Diplomatic influence higher than
HAVE_LESS_DIPLOMATIC_INFLUENCE;Diplomatic influence lower than
EVTNAME13356;Atrocities by the Boxers!
EVTDESC13356;The Boxers, commonly known as the "Boxers" or "Boxer rebels" — a Chinese organization dedicated to regaining China's sovereignty, which had been gradually lost due to the expansion of European powers — murdered European missionaries and merchants operating in China. Countless Chinese converts to Christianity were also killed by them. The Qing government showed indifference, and there were even reports that the Qing authorities tacitly approved of the thugs' actions.
EVTOPTA13356;This is truly intolerable brutality!
boxer_rebels_title;Boxers
boxer_rebels_name;Boxers
boxer_rebels_desc;The Boxers, commonly known as the "Boxers" or "Boxer rebels," were a Chinese organization dedicated to regaining national sovereignty lost to imperialism. Trying every means to create a "perfect" China, this anti-imperialist organization sought every opportunity to massacre Europeans and Christians under the slogan "Support the Qing, Destroy the Foreigners."
boxer_rebels_army;Boxers
support_boxers_title;Support the Boxers!
support_boxers_desc;The Boxers have appeared in several provinces of the Great Qing that have been encroached upon by foreigners. Support this movement and let us pray they can end the foreign influence on the Great Qing.
support_schaumburgs_title;Support the Schaumburg-Lippe Family
support_schaumburgs_desc;Prince Waldemar of Schaumburg-Lippe died without heirs in 1895, opening a twenty-year dispute between the Biesterfeld branch and the Schaumburg branch of the Lippe family. Support for the Lippe-Schaumburg family will prevent all problems from arising.
support_biesterfelds_title;Support the Lippe-Biesterfeld Family
support_biesterfelds_desc;Prince Waldemar of Schaumburg-Lippe died without heirs in 1895, opening a twenty-year dispute between the Biesterfeld branch and the Schaumburg branch of the Lippe family. Support for the Lippe-Biesterfeld family will prevent all problems from arising.
award_order_of_st_francis_title;Order of Francis I
award_order_of_st_francis_desc;On September 28, 1829, the Order of Francis I was established — an order of the Kingdom of the Two Sicilies, usable both as a civilian decoration and a military decoration. If we award this order to an outstanding dignitary, we will be considered enlightened and benevolent.
statuto_albertino_title;Statuto Albertino
statuto_albertino_desc;The Statuto Albertino was the constitution of the Kingdom of Sardinia established on April 4, 1848, in response to revolutionary activities within the nation. This constitution legalized the monarchy of the Kingdom of Sardinia, and although amended several times, it remained in use until 1948.
RECENT_IMIGRATION_DAYS_LATER_THAN;No immigrants in the last ?Y$DAYS$?W days.\n
RECENT_IMIGRATION_DAYS;Immigrants in the last ?Y$DAYS$?W days.\n
HAS_COLONIES;Is a colonial nation\n
HAS_NO_COLONIES;Not a colonial nation\n
IS_NOT_GREAT_NATION;Not a Great Power
das_zivilgesetzbuch_title;Civil Code
das_zivilgesetzbuch_desc;During the tenth assembly of the Grand Duchy of Hesse between 1844 and 1847, extensive efforts were made to combine the French Civil Code previously used in Mainz and the Rhine Hesse region with Germanic traditional laws, forming the "German Civil Code" which later unified German regions.
PROD_NO_CURRENT_PROJECTS;Our nation's ?Y$POPTYPE$?W has no current plans
niederwald_denkmal_title;Niederwald Monument
niederwald_denkmal_desc;The Niederwald Monument is a monument located in the Niederwald Park in Hesse, Germany. At the center of the monument is the symbol of Germany, a ten-meter-tall statue of Germania, and on either side are statues representing war and peace. The monument broke ground in 1871 and was completed in 1883. It was built to commemorate the founding of the German Empire after the Franco-Prussian War. Let's celebrate the glorious unification of our nation by building a monument!
build_vittoriano_title;Vittoriano
build_vittoriano_desc;The Vittoriano (Italian: Vittoriano) is a memorial hall in Rome, Italy, construction of which began in 1911 to commemorate Victor Emmanuel II and the unification of Italy. Let us build a memorial hall to honor our young nation, and let the glory of Rome's reconstruction sting their eyes!
BUDGET_BANK_BIGGEST_INVESTORS;Largest Investors:\n
POLITICS_ALREADY_RULING_PARTY;$PARTY$ is now the ruling party.
POLITICS_CANNOT_SET_RULING_PARTY_RULE;Our system of government does not allow us to designate a ruling party
BANK_OF;Bank of $COUNTRY$
TRADE_STOCKPILE_BUY;Our nation spent ?Y$MONEY$?W on ?Y$UNITS$?W units yesterday
TRADE_STOCKPILE_SOLD;Our nation sold ?Y$UNITS$?W units for ?Y$MONEY$?W yesterday?!
annals_of_the_fulani_jihad_title;Annals of the Fulani Jihad
annals_of_the_fulani_jihad_desc;Abdullahi dan Fodio (1766-1828) was the Emir of Gwandu. During his lifetime, he wrote a book about the Fulani Jihad, the great struggle from which Sokoto was born. By spreading every word of this historical work, we can restore our nation's glory and prestige.
become_negusa_nagast_title;King of Kings
become_negusa_nagast_desc;The "Era of Princes' Strife" (Zemene Mesafint) in Ethiopian history began in 1769 and ended with the ascension of Tewodros II in 1855. During this period, Ethiopia was torn apart by political strife, and the royal family could only occupy a symbolic position. After Tewodros II was crowned "Negusa Nagast" (King of Kings), the era of princes' strife came to an end, opening the modern imperial era of Ethiopia. Is it time to hold a coronation?
hellenic_parliament_title;Greek Parliament
hellenic_parliament_desc;In 1843, the first parliament of modern Greece was established, and they forced King Otto to agree to issue a constitution only after the third revolution in September of that year. The establishment of the Greek Parliament not only symbolized Greece's transition to a constitutional monarchy, but also represented Greece's first step toward democracy since ancient times.
palais_garnier_title;Build the Palais Garnier
palais_garnier_desc;The Palais Garnier was the main venue for the Paris Opera from its official opening in 1875 until 1989. Designed by Charles Garnier, it features a neo-Baroque style. This opera house was celebrated as a masterpiece of modern architecture in its era and was imitated by the Western world. The Palais Garnier also inspired Gaston Leroux's classic novel "The Phantom of the Opera."
COUNTRYALERT_IsBuildingFactories;Our nation is building or expanding factories in the following regions:
REMOVE_COUNTRYALERT_HasClosedFactories;The following regions have closed factories:
REMOVE_COUNTRYALERT_HasUnemployedWorkers;The following regions have unemployed workers:
COUNTRYALERT_CanDoReforms;Our nation can implement the following reforms:
COUNTRYALERT_CanDoDecisions;Our nation can implement the following decisions:
COUNTRYALERT_IsInElection;Our nation is currently holding an election. On ?Y$DATE$?W, a new ruling party will be elected.
COUNTRYALERT_HaveRebels;There are rebel uprisings in our nation!
REMOVE_COUNTRYALERT_CanIncreaseOpinion;We can improve the evaluation of our nation by the following countries:
COUNTRYALERT_LoosingGPStatus;We have lost our ?Y Great Power?W status! If things don't improve within ?Y$DAYS$?W days, the world will no longer regard us as a ?Y Great Power?W!
COUNTRYALERT_NO_IsBuildingFactories;Our nation is not currently building or expanding any factories
REMOVE_COUNTRYALERT_NO_HasClosedFactories;Our nation has no closed factories
COUNTRYALERT_NO_HasUnemployedWorkers;Our nation has no unemployed workers
COUNTRYALERT_NO_CanDoReforms;Our nation cannot implement any reforms
REMOVE_COUNTRYALERT_NO_CanDoDecisions;Our nation cannot implement any decisions
COUNTRYALERT_NO_IsInElection;Our nation has no upcoming elections
COUNTRYALERT_NO_HaveRebels;There are no uprisings in our nation
REMOVE_COUNTRYALERT_NO_CanIncreaseOpinion;We cannot increase other countries' evaluation of our nation
COUNTRYALERT_NO_LoosingGPStatus;We are not currently losing our ?Y Great Power?W status
COUNTRYALERT_NO_GPStatus;We are not yet a ?Y Great Power?W
PEACE_DESC;Propose Peace
TOPBAR_TOP5_GOODS;Top five goods produced by our nation:
TOPBAR_HISTORICAL_INCOME;In the last ?Y$DAYS$?W days, our highest income was $MAX$ and lowest was $MIN$
TOPBAR_FUNDS;Yesterday we earned $YESTERDAY$, and our current cash reserves are ?Y$CASH$?W
TOPBAR_AVG_LITERACY;Our nation's average ?Y literacy rate?W is ?Y$AVG$?W%
TOPBAR_AVG_MIL;Our nation's average ?Y militancy?W is ?Y$AVG$?W
TOPBAR_AVG_CON;Our nation's average ?Y consciousness?W is ?Y$AVG$?W
REMOVE_TOPBAR_POPULATION;Our nation's current population is $CURR$, and our nation's population has changed by $CHANGE$ since yesterday
TOPBAR_TOP_IMPORTS;Top ?Y$N$?W imported goods by our nation:
TOPBAR_TOP_EXPORTS;Top ?Y$N$?W exported goods by our nation:
TOPBAR_ARMY_TOOLTIP;Our nation's army has ?Y$CURR$?W brigades\nOur nation's ?Y soldiers?W can support up to ?Y$MAX$?W brigades
TOPBAR_SHIP_TOOLTIP;Our nation's navy has ?Y$CURR$?W ships
